BENTZIEN;Experiência CAP;GRUPAL AMERICANA;IAPC;IBA (FERROVIARIOS);MULLER;RP-2000 DISABLED FEMALE;RP-2000 DISABLED MALE;RRB-44;TASA/1927;WINKLEVOSS;ZIMMERMANN;ZIMMERMANN (FERR. ALEMAES)
0.156;0.121948452163564;0.112;0.1634;1;1;0.072312;0.109372;0.144;1;0.09654;0.1355;0.14426
0.17137;0.128122958765566;0.126;0.1741;1;1;0.077135;0.115544;0.159;1;0.10171;1;0.15649
0.18711;0.134739839349202;0.141;0.1892;1;1;0.082298;0.121877;0.174;1;0.10715;1;1
0.20057;0.141818798942715;0.158;0.2035;1;1;0.087838;0.128343;0.192;1;0.11287;1;1
0.21224;0.149379943323869;0.178;0.2163;1;1;0.093794;0.134923;0.211;1;0.1189;1;1
0.22315;0.157443688718753;0.199;0.2314;1;1;0.100203;0.141603;0.236;1;0.12524;1;1
0.22913;0.166030654074253;0.224;0.2459;1;1;0.107099;0.148374;0.266;1;0.13191;1;1
0.23607;0.175161533968231;0.251;0.2601;1;1;0.114512;0.155235;0.303;1;0.13893;1;1
0.24451;0.184856950276767;0.282;0.2772;1;1;0.122464;0.162186;0.347;1;0.1463;1;1
0.25774;0.195137280636388;0.316;0.2993;1;1;0.130972;0.169233;0.396;1;0.15404;1;1
0.32373;0.206022461698092;0.355;0.3258;1;1;0.140049;0.183408;0.455;1;0.16219;1;1
0.36099;0.217531765311485;0.398;0.35;1;1;0.149698;0.199769;0.532;1;0.17094;1;1
0.40526;0.229683545864801;0.446;0.3846;1;1;0.159924;0.216605;0.634;1;0.18059;1;1
0.45723;0.242494957042576;0.501;0.5;1;1;0.170433;0.233662;0.734;1;0.19154;1;1
0.5163;0.255981636913866;0.562;0.5;1;1;0.182799;0.250693;0.857;1;0.20429;1;1
0.58427;0.270157360142234;0.631;1;1;1;0.194509;0.267491;1;1;0.21944;1;1
0.64864;0.285033657116431;0.708;1;1;1;0.205379;0.283905;1;1;0.23769;1;1
0.69231;0.300619400144972;0.794;1;1;1;0.21524;0.299852;1;1;0.25984;1;1
0.75;0.316920357703218;0.891;1;1;1;0.223947;0.315296;1;1;0.28679;1;1
0.75;0.333938719269165;1;1;1;1;0.231387;0.330207;1;1;0.31954;1;1
0.75;0.351672592940661;;1;1;1;0.237467;0.344556;1;1;0.35919;1;1
0.75;0.370115482814214;;1;1;1;0.244834;0.358628;1;1;0.40694;1;1
0.75;0.389255748842245;;1;1;1;0.254498;0.371685;1;1;0.46409;1;1
0.75;0.409076062900187;;1;1;1;0.266044;0.38304;1;1;0.53204;1;1
0.75;0.429552864691759;;1;1;1;0.279055;0.392003;1;1;0.61229;1;1
0.75;0.450655838097938;;1;1;1;0.293116;0.397886;1;1;0.7064;1;1
0.75;1;1;1;1;1;0.307811;0.4;1;1;0.81619;1;1
0.75;1;1;1;1;1;0.322725;0.4;1;1;0.94334;1;1
0.75;1;1;1;1;1;0.337441;0.4;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1
