ALVARO VINDAS;GRUPO AMERICANA;HUNTER'S;IAPB-57 Forte;IAPB-57 FRACA;IBA (FERROVIARIOS);LIGHT FORTE;LIGHT MEDIA;MULLER;PRUDENTIAL (FERR. APOSENT.);RGPS-99/02 M.M;RRB-1944 Mod - Fem;RRB-1944 Mod - Masc;TASA-1927;WYATT 1985 ;ZIMMERMANN EMPR. ESCRIT
0.004895;0.00289;0.01413;0.0758;0.01056;0.0439;0.01937;0.01474;0.01144;0.0222;0.01463;0.0189;0.0126;0.00418;0.01143;0.02698
0.005516;0.00315;0.01522;0.0707;0.01194;0.0489;0.02063;0.0162;0.01264;0.0248;0.01577;0.0207;0.0138;0.00468;0.01204;0.03353
0.006223;0.00345;0.01639;0.066;0.01323;0.0544;0.0222;0.01794;0.01415;0.0292;0.01698;0.02206;0.01471;0.00528;0.01263;0.04217
0.007029;0.0038;0.01764;0.0621;0.01471;0.0606;0.02326;0.01959;0.01621;0.0345;0.01834;0.02313;0.01542;0.006;0.0132;0.05434
0.007947;0.00421;0.01897;0.06;0.01629;0.0675;0.02462;0.02157;0.01907;0.034;0.01951;0.02397;0.01598;0.00689;0.0139;0.05932
0.008993;0.00474;0.02038;0.0594;0.01807;0.0751;0.02604;0.02379;0.02295;0.03;0.02018;0.0246;0.0164;0.00806;0.01463;0.06834
0.010183;0.00542;0.02187;0.0591;0.0199;0.0836;0.02756;0.0263;1;0.03;0.02001;0.0246;0.0164;0.00958;0.0154;0.0763
0.011542;0.00628;0.02344;0.059;0.0225;0.0929;0.02907;0.02953;1;1;0.01648;0.0246;0.0164;0.01158;0.01622;0.08293
0.013087;0.0073;0.02509;0.059;0.02487;0.1034;1;0.01719;1;1;0.0139;0.0246;0.0164;0.01429;0.0171;0.09509
0.014847;0.0088;0.02682;0.0592;0.02781;0.115;1;0.01995;1;1;0.01138;0.0246;0.0164;0.01791;0.01804;0.11103
0.016852;0.01057;0.02863;0.0599;0.03109;0.1279;1;0.0231;1;1;0.00916;0.0246;0.0164;0.0228;0.01902;0.12901
0.019135;0.01284;0.03052;0.0611;0.03476;0.1422;1;0.02669;1;1;0.0085;0.0246;0.0164;0.02958;1;0.15509
0.021734;0.01575;0.03249;0.0628;0.03886;1;1;1;1;1;1;0.0246;0.0164;1;1;0.18929
0.024695;0.01936;0.03454;0.065;0.04344;1;1;1;1;1;1;0.0246;0.0164;1;1;0.22127
0.028066;0.02386;0.03667;0.0678;0.04856;1;1;1;1;1;1;0.0246;0.0164;1;1;0.25258
0.031904;0.02924;0.03888;0.0712;0.05429;1;1;1;1;1;1;0.0246;0.0164;1;1;0.28856
0.036275;0.03537;0.04117;0.075;0.0607;1;1;1;1;1;1;0.0246;0.0164;1;1;0.33091
0.041252;0.04014;0.04354;0.08;0.06786;1;1;1;1;1;1;1;1;1;1;0.38147
0.046919;0.04401;0.04599;0.088;0.07587;1;1;1;1;1;1;1;1;1;1;0.44288
0.055371;0.04667;0.04852;0.095;0.08482;1;1;1;1;1;1;1;1;1;1;0.51909
0.060718;0.04942;0.05113;0.1042;0.09482;1;1;1;1;1;1;1;1;1;1;0.6132
0.069084;1;0.05382;0.1136;1;1;1;1;1;1;1;1;1;1;1;0.74399
0.078608;1;0.05659;0.1232;1;1;1;1;1;1;1;1;1;1;1;0.92
0.089453;1;0.05944;0.133;1;1;1;1;1;1;1;1;1;1;1;1
0.1018;1;0.06237;0.148;1;1;1;1;1;1;1;1;1;1;1;1
0.115859;1;0.06538;0.162;1;1;1;1;1;1;1;1;1;1;1;1
0.131805;1;0.06847;0.186;1;1;1;1;1;1;1;1;1;1;1;1
0.15009;1;0.07165;0.217;1;1;1;1;1;1;1;1;1;1;1;1
0.17084;1;0.07492;0.255;1;1;1;1;1;1;1;1;1;1;1;1
0.194465;1;0.07833;0.3;1;1;1;1;1;1;1;1;1;1;1;1
0.221363;1;0.08203;0.3583;1;1;1;1;1;1;1;1;1;1;1;1
0.251988;1;0.08652;0.4167;1;1;1;1;1;1;1;1;1;1;1;1
1;1;0.09342;0.475;1;1;1;1;1;1;1;1;1;1;1;1
1;1;0.10779;0.5333;1;1;1;1;1;1;1;1;1;1;1;1
1;1;0.1449;0.5917;1;1;1;1;1;1;1;1;1;1;1;1
1;1;0.24972;0.65;1;1;1;1;1;1;1;1;1;1;1;1
1;1;0.55228;0.7083;1;1;1;1;1;1;1;1;1;1;1;1
1;1;0.85484;0.7666;1;1;1;1;1;1;1;1;1;1;1;1
1;1;0.95966;0.825;1;1;1;1;1;1;1;1;1;1;1;1
1;1;0.99213;0.8833;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
